sufficient,enough,valuable,wrong
expeditiously,rapidly,repeatedly,wrong
constantly,continually,instantly,wrong
concocted,devised,devised,correct
issues,subjects,benefits,wrong
recognized,acknowledged,acknowledged,correct
marketed,sold,diluted,wrong
hailed,acclaimed,addressed,wrong
flawed,imperfect,imperfect,correct
narrow,thin,clear,wrong
bigger,larger,better,wrong
debate,argument,election,wrong
make,earn,borrow,wrong
hasten,accelerate,accelerate,correct
command,mastery,mastery,correct
salutes,greetings,greetings,correct
levied,imposed,imposed,correct
prospective,potential,prominent,wrong
highlight,accentuate,alter,wrong
distribute,circulate,commercialize,wrong
